"Date","Price","Open","High","Low","Change %"
"03/09/2026","13.318","13.392","13.408","13.307","0.70%"
"03/06/2026","13.225","13.220","13.262","13.188","1.79%"
"03/05/2026","12.993","12.875","13.028","12.875","1.37%"
"03/04/2026","12.818","12.845","12.845","12.797","-0.88%"
"03/03/2026","12.932","12.875","13.005","12.875","1.59%"
"03/02/2026","12.730","12.740","12.755","12.730","0.79%"
"02/27/2026","12.630","12.635","12.670","12.630","0.80%"
"02/26/2026","12.530","12.575","12.575","12.530","-0.20%"
"02/25/2026","12.555","12.525","12.555","12.525","0.04%"
"02/24/2026","12.550","12.590","12.590","12.540","-0.04%"
"02/23/2026","12.555","12.600","12.600","12.555","-0.29%"
"02/20/2026","12.592","12.645","12.650","12.587","-0.50%"
"02/19/2026","12.655","12.650","12.660","12.632","0.29%"
"02/18/2026","12.618","12.587","12.623","12.587","-0.25%"
"02/13/2026","12.650","12.675","12.675","12.650","-0.32%"
"02/12/2026","12.690","12.660","12.690","12.655","0.06%"
"02/11/2026","12.682","12.685","12.698","12.667","0.00%"
"02/10/2026","12.682","12.703","12.703","12.648","0.21%"
"02/09/2026","12.655","12.710","12.720","12.655","-0.32%"
"02/06/2026","12.695","12.730","12.730","12.694","-0.12%"
"02/05/2026","12.710","12.735","12.735","12.710","-0.31%"
"02/04/2026","12.750","12.730","12.750","12.730","0.47%"
"02/03/2026","12.690","12.710","12.710","12.690","-0.51%"
"02/02/2026","12.755","12.720","12.760","12.720","0.24%"
"01/30/2026","12.725","12.730","12.730","12.700","0.12%"
"01/29/2026","12.710","12.745","12.745","12.710","-0.66%"
"01/28/2026","12.795","12.825","12.832","12.795","-0.78%"
"01/27/2026","12.895","12.940","12.940","12.895","-0.65%"
"01/26/2026","12.980","13.000","13.000","12.980","-0.57%"
"01/23/2026","13.055","13.040","13.055","13.040","0.15%"
"01/22/2026","13.035","13.105","13.105","13.035","-0.69%"
"01/21/2026","13.125","13.185","13.185","13.125","-0.61%"
"01/20/2026","13.205","13.255","13.255","13.205","0.46%"
"01/19/2026","13.145","13.175","13.175","13.145","-0.30%"
"01/16/2026","13.185","13.130","13.185","13.130","0.88%"
"01/15/2026","13.070","13.035","13.070","13.035","0.27%"
"01/14/2026","13.035","12.945","13.035","12.945","0.70%"
"01/13/2026","12.945","12.970","12.970","12.945","-0.38%"
"01/12/2026","12.995","13.035","13.035","12.995","-0.38%"
"01/09/2026","13.045","13.050","13.050","13.045","0.38%"
"01/08/2026","12.995","13.015","13.015","12.995","0.15%"
"01/07/2026","12.975","13.015","13.015","12.975","0.00%"
"01/06/2026","12.975","13.025","13.025","12.975","-0.08%"
"01/05/2026","12.985","13.085","13.085","12.985","-0.35%"
"01/02/2026","13.030","13.181","13.181","13.015","-1.51%"
"12/26/2025","13.230","13.230","13.230","13.230","-0.49%"
"12/23/2025","13.295","13.295","13.295","13.295","-0.08%"
"12/18/2025","13.305","13.305","13.305","13.305","0.04%"
"12/17/2025","13.300","13.300","13.300","13.300","1.84%"
"12/16/2025","13.060","13.060","13.060","13.060","0.81%"
"12/15/2025","12.955","12.955","12.955","12.955","-0.31%"
"12/12/2025","12.995","13.030","13.030","12.995","-1.29%"
"12/11/2025","13.165","13.175","13.175","13.165","-0.60%"
"12/10/2025","13.245","13.215","13.245","13.215","0.68%"
"12/09/2025","13.155","13.320","13.320","13.155","0.11%"
"12/08/2025","13.140","13.110","13.140","13.110","0.88%"
"12/05/2025","13.025","12.635","13.025","12.635","2.56%"
"12/04/2025","12.700","12.685","12.700","12.685","-0.35%"
"12/03/2025","12.745","12.660","12.745","12.660","0.28%"
"12/02/2025","12.710","12.780","12.780","12.710","-0.66%"
"12/01/2025","12.795","12.790","12.795","12.790","0.27%"
"11/28/2025","12.760","12.750","12.760","12.750","0.39%"
"11/27/2025","12.710","12.725","12.725","12.710","-0.12%"
"11/26/2025","12.725","12.770","12.770","12.725","-0.12%"
"11/25/2025","12.740","12.735","12.740","12.735","-0.47%"
"11/24/2025","12.800","12.800","12.800","12.800","-0.81%"
"11/21/2025","12.905","12.865","12.905","12.865","0.16%"
"11/19/2025","12.885","12.905","12.905","12.885","0.00%"
"11/18/2025","12.885","12.930","12.930","12.885","0.19%"
