"Date","Price","Open","High","Low","Change %"
"03/09/2026","2.164","2.159","2.170","2.159","0.23%"
"03/06/2026","2.159","2.170","2.181","2.159","-0.55%"
"03/05/2026","2.171","2.202","2.202","2.171","-1.41%"
"03/04/2026","2.202","2.174","2.259","2.174","1.29%"
"03/03/2026","2.174","2.072","2.174","2.072","4.92%"
"03/02/2026","2.072","2.108","2.108","2.062","-1.75%"
"02/27/2026","2.109","2.146","2.146","2.078","-1.72%"
"02/26/2026","2.146","2.125","2.166","2.125","0.99%"
"02/25/2026","2.125","2.094","2.135","2.094","1.43%"
"02/24/2026","2.095","2.136","2.136","2.095","-1.92%"
"02/23/2026","2.136","2.136","2.136","2.136","-0.70%"
"02/20/2026","2.151","2.151","2.151","2.151","0.00%"
"02/19/2026","2.151","2.151","2.151","2.151","0.00%"
"02/18/2026","2.151","2.151","2.151","2.151","0.00%"
"02/17/2026","2.151","2.151","2.151","2.151","0.00%"
"02/16/2026","2.151","2.193","2.193","2.151","-1.92%"
"02/13/2026","2.193","2.224","2.224","2.190","-1.39%"
"02/12/2026","2.224","2.195","2.224","2.195","1.32%"
"02/11/2026","2.195","2.201","2.201","2.184","-0.27%"
"02/10/2026","2.201","2.231","2.231","2.201","-1.08%"
"02/09/2026","2.225","2.208","2.225","2.208","0.77%"
"02/06/2026","2.208","2.290","2.290","2.197","-3.58%"
"02/05/2026","2.290","2.290","2.301","2.290","0.00%"
"02/04/2026","2.290","2.284","2.290","2.274","0.26%"
"02/03/2026","2.284","2.256","2.285","2.256","1.24%"
"02/02/2026","2.256","2.314","2.314","2.256","-2.55%"
"01/30/2026","2.315","2.338","2.338","2.315","-0.94%"
"01/29/2026","2.337","2.343","2.343","2.337","-0.26%"
"01/28/2026","2.343","2.383","2.383","2.343","-1.68%"
"01/27/2026","2.383","2.395","2.395","2.383","-0.50%"
"01/26/2026","2.395","2.406","2.406","2.389","-0.46%"
"01/23/2026","2.406","2.446","2.446","2.406","-1.64%"
"01/22/2026","2.446","2.452","2.452","2.442","-0.24%"
"01/21/2026","2.452","2.486","2.486","2.452","-1.37%"
"01/20/2026","2.486","2.497","2.514","2.486","-0.44%"
"01/19/2026","2.497","2.480","2.497","2.470","0.69%"
"01/16/2026","2.480","2.491","2.503","2.480","-0.44%"
"01/15/2026","2.491","2.497","2.508","2.491","-0.24%"
"01/14/2026","2.497","2.491","2.497","2.481","0.24%"
"01/13/2026","2.491","2.487","2.491","2.475","0.20%"
"01/12/2026","2.486","2.463","2.486","2.463","0.93%"
"01/09/2026","2.463","2.463","2.463","2.463","0.00%"
"01/08/2026","2.463","2.480","2.491","2.463","-0.69%"
