"Date","Price","Open","High","Low","Change %"
"03/09/2026","6.175","6.095","6.175","6.095","2.85%"
"03/06/2026","6.004","5.902","6.004","5.902","1.66%"
"03/05/2026","5.906","5.895","5.989","5.883","0.17%"
"03/04/2026","5.896","5.859","5.994","5.859","0.63%"
"03/03/2026","5.859","5.859","5.859","5.859","0.00%"
"03/02/2026","5.859","5.972","5.972","5.713","-1.91%"
"02/27/2026","5.973","5.969","6.011","5.967","0.02%"
"02/26/2026","5.972","5.978","6.003","5.972","-0.10%"
"02/25/2026","5.978","5.982","5.995","5.963","-0.08%"
"02/24/2026","5.983","6.026","6.041","5.983","-0.71%"
"02/23/2026","6.026","6.049","6.049","6.025","-0.40%"
"02/20/2026","6.050","6.028","6.050","5.992","0.36%"
"02/19/2026","6.028","6.028","6.028","6.028","0.00%"
"02/18/2026","6.028","5.998","6.047","5.997","0.47%"
"02/17/2026","6.000","6.020","6.055","6.000","-0.35%"
"02/16/2026","6.021","6.051","6.056","6.021","-0.51%"
"02/13/2026","6.052","6.046","6.063","6.041","0.07%"
"02/12/2026","6.048","6.042","6.074","6.042","0.08%"
"02/11/2026","6.043","6.063","6.083","6.043","-0.35%"
"02/10/2026","6.064","6.064","6.094","6.057","0.00%"
"02/09/2026","6.064","6.098","6.107","6.064","-0.57%"
"02/06/2026","6.099","6.050","6.162","6.050","0.78%"
"02/05/2026","6.052","6.071","6.077","6.048","-0.33%"
"02/04/2026","6.072","6.081","6.114","6.072","-0.16%"
"02/03/2026","6.082","6.192","6.192","6.052","-1.78%"
"02/02/2026","6.192","6.093","6.207","6.093","1.61%"
"01/30/2026","6.094","6.126","6.143","6.094","-0.52%"
"01/29/2026","6.126","6.116","6.126","6.046","0.15%"
"01/28/2026","6.117","6.132","6.139","6.101","-0.24%"
"01/27/2026","6.132","6.089","6.162","6.087","0.71%"
"01/26/2026","6.089","6.089","6.089","6.089","0.00%"
"01/23/2026","6.089","6.099","6.113","6.083","-0.18%"
"01/22/2026","6.100","6.088","6.145","6.088","0.20%"
"01/21/2026","6.088","6.124","6.147","6.088","-0.59%"
"01/20/2026","6.124","6.121","6.132","6.111","0.03%"
"01/19/2026","6.122","6.116","6.130","6.116","0.08%"
"01/16/2026","6.117","6.120","6.137","6.117","-0.07%"
"01/15/2026","6.121","6.121","6.121","6.121","-0.02%"
"01/14/2026","6.122","6.097","6.123","6.097","0.39%"
"01/13/2026","6.098","6.060","6.115","6.059","0.63%"
"01/12/2026","6.060","6.047","6.130","6.047","0.20%"
"01/09/2026","6.048","6.047","6.099","6.047","0.00%"
"01/08/2026","6.048","6.061","6.084","6.048","-0.21%"
"01/07/2026","6.061","6.063","6.083","6.048","-0.03%"
"01/06/2026","6.063","6.080","6.105","6.060","-0.28%"
"01/05/2026","6.080","6.065","6.144","6.029","0.25%"
"01/02/2026","6.065","6.055","6.082","6.051","0.15%"
"01/01/2026","6.056","6.069","6.107","6.036","-0.21%"
"12/31/2025","6.069","6.071","6.083","6.060","-0.03%"
"12/30/2025","6.071","6.052","6.077","6.050","0.31%"
"12/29/2025","6.052","6.030","6.052","6.022","0.36%"
"12/26/2025","6.030","6.050","6.094","6.030","-0.33%"
"12/25/2025","6.050","6.050","6.050","6.050","0.00%"
"12/24/2025","6.050","6.159","6.159","6.017","-1.79%"
"12/23/2025","6.160","6.214","6.227","5.920","-0.87%"
"12/22/2025","6.214","6.008","6.214","6.001","3.43%"
"12/19/2025","6.008","6.060","6.118","6.008","-0.87%"
"12/18/2025","6.061","6.056","6.066","6.056","0.08%"
"12/17/2025","6.056","6.043","6.076","6.043","0.20%"
"12/16/2025","6.044","5.986","6.056","5.986","0.97%"
"12/15/2025","5.986","6.024","6.086","5.986","-0.63%"
"12/12/2025","6.024","5.818","6.209","5.818","3.56%"
"12/11/2025","5.817","5.761","5.820","5.760","0.97%"
"12/10/2025","5.761","5.762","5.762","5.755","-0.02%"
"12/09/2025","5.762","5.554","5.762","5.547","-0.17%"
"12/08/2025","5.772","5.767","5.772","5.766","4.04%"
"12/05/2025","5.548","5.830","6.019","5.548","-5.19%"
"12/04/2025","5.852","5.823","5.852","5.823","0.12%"
"12/03/2025","5.845","5.849","5.859","5.823","0.21%"
"12/02/2025","5.833","5.834","5.859","5.833","0.24%"
"12/01/2025","5.819","5.826","5.860","5.760","1.16%"
"11/28/2025","5.752","5.809","5.887","5.752","-0.74%"
"11/27/2025","5.795","5.813","5.827","5.795","-0.21%"
"11/26/2025","5.807","5.821","5.821","5.807","-0.10%"
