"Date","Price","Open","High","Low","Change %"
"03/06/2026","7.220","7.240","7.240","7.220","0.00%"
"03/05/2026","7.220","7.160","7.260","7.140","1.12%"
"03/04/2026","7.140","7.150","7.150","7.130","0.00%"
"03/03/2026","7.140","7.140","7.140","7.140","0.42%"
"03/02/2026","7.110","7.110","7.110","7.110","-0.42%"
"02/27/2026","7.140","7.150","7.150","7.140","0.42%"
"02/25/2026","7.110","7.110","7.110","7.110","-0.42%"
"02/24/2026","7.140","7.140","7.140","7.140","-0.70%"
"02/23/2026","7.190","7.190","7.190","7.190","0.28%"
"02/20/2026","7.170","7.170","7.170","7.170","-0.42%"
"02/18/2026","7.200","7.220","7.220","7.200","-0.28%"
"02/16/2026","7.220","7.220","7.220","7.220","-0.14%"
"02/13/2026","7.230","7.240","7.240","7.230","0.00%"
"02/12/2026","7.230","7.230","7.230","7.230","-0.14%"
"02/11/2026","7.240","7.230","7.240","7.230","0.14%"
"02/10/2026","7.230","7.230","7.230","7.230","-0.14%"
"02/06/2026","7.240","7.390","7.390","7.240","-1.23%"
"02/05/2026","7.330","7.330","7.330","7.330","-0.27%"
"01/27/2026","7.350","7.350","7.350","7.350","-0.68%"
"01/23/2026","7.400","7.430","7.430","7.400","0.00%"
"01/21/2026","7.400","7.400","7.400","7.400","0.41%"
"01/16/2026","7.370","7.370","7.370","7.370","-0.54%"
"01/13/2026","7.410","7.430","7.430","7.410","0.00%"
"01/12/2026","7.410","7.410","7.410","7.410","0.27%"
"01/09/2026","7.390","7.530","7.530","7.390","-0.14%"
"01/08/2026","7.400","7.400","7.400","7.400","-0.27%"
"01/07/2026","7.420","7.420","7.440","7.410","-0.13%"
"01/06/2026","7.430","7.490","7.490","7.430","-1.59%"
"12/24/2025","7.550","7.550","7.550","7.550","0.00%"
"12/23/2025","7.550","7.550","7.550","7.550","0.13%"
"12/19/2025","7.540","7.540","7.540","7.540","-1.31%"
"12/17/2025","7.640","7.640","7.640","7.640","-0.13%"
"12/15/2025","7.650","7.650","7.650","7.650","0.00%"
"12/11/2025","7.650","7.650","7.650","7.650","-0.13%"
"12/10/2025","7.660","7.660","7.660","7.660","0.13%"
"12/09/2025","7.650","7.650","7.650","7.650","0.92%"
"12/03/2025","7.580","7.580","7.580","7.580","-0.26%"
"11/28/2025","7.600","7.600","7.600","7.600","0.53%"
"11/27/2025","7.560","7.560","7.560","7.560","-0.53%"
"11/25/2025","7.600","7.600","7.600","7.600","0.66%"
"11/21/2025","7.550","8.360","8.360","7.550","1.48%"
"11/05/2025","7.440","7.440","7.440","7.440","0.13%"
"11/04/2025","7.430","7.430","7.430","7.430","0.13%"
"10/31/2025","7.420","7.420","7.420","7.420","-0.13%"
"10/30/2025","7.430","7.360","7.430","7.360","0.95%"
"10/29/2025","7.360","7.360","7.360","7.360","-0.41%"
"10/28/2025","7.390","7.390","7.390","7.390","-0.27%"
"10/24/2025","7.410","7.410","7.410","7.410","-0.40%"
"10/23/2025","7.440","7.440","7.440","7.440","-0.53%"
"10/22/2025","7.480","7.480","7.480","7.480","-0.40%"
"10/21/2025","7.510","7.510","7.510","7.510","-10.17%"
"10/20/2025","8.360","8.360","8.360","8.360","11.47%"
"10/16/2025","7.500","7.500","7.500","7.500","-0.27%"
"10/14/2025","7.520","7.560","7.560","7.520","-0.66%"
"10/13/2025","7.570","8.360","8.360","7.570","-9.45%"
"10/09/2025","8.360","8.360","8.360","8.360","9.86%"
"10/08/2025","7.610","7.610","7.610","7.610","-0.13%"
"10/07/2025","7.620","7.620","7.620","7.620","-0.13%"
"10/06/2025","7.630","8.360","8.360","7.630","-0.13%"
"10/03/2025","7.640","7.640","7.640","7.640","0.13%"
"10/02/2025","7.630","7.630","7.630","7.630","-0.13%"
"09/30/2025","7.640","8.360","8.360","7.640","0.00%"
"09/24/2025","7.640","7.650","7.650","7.640","0.00%"
"09/23/2025","7.640","7.640","7.640","7.640","-0.13%"
"09/22/2025","7.650","7.650","7.650","7.650","0.00%"
"09/19/2025","7.650","7.650","7.680","7.650","-0.26%"
"09/12/2025","7.670","7.670","7.670","7.670","-0.90%"
"09/10/2025","7.740","7.740","7.740","7.740","-0.51%"
"09/09/2025","7.780","7.780","7.780","7.780","-0.13%"
"09/08/2025","7.790","8.360","8.360","7.790","0.00%"
"09/05/2025","7.790","7.820","7.820","7.790","-0.13%"
"09/04/2025","7.800","7.830","7.830","7.800","-0.64%"
"09/03/2025","7.850","7.850","7.850","7.850","0.38%"
"09/02/2025","7.820","7.820","7.820","7.820","0.13%"
"08/29/2025","7.810","7.810","7.810","7.810","-0.64%"
"08/28/2025","7.860","7.860","7.860","7.860","0.00%"
"08/22/2025","7.860","7.860","7.860","7.860","-0.63%"
"08/20/2025","7.910","7.910","7.910","7.910","-0.13%"
"08/19/2025","7.920","8.360","8.360","7.920","-0.38%"
"08/14/2025","7.950","7.950","7.950","7.950","0.51%"
"08/13/2025","7.910","7.920","7.920","7.910","-0.88%"
"08/12/2025","7.980","8.580","8.580","7.980","-0.62%"
"08/07/2025","8.030","8.030","8.030","8.030","-0.12%"
"08/06/2025","8.040","8.040","8.040","8.040","-0.37%"
"08/05/2025","8.070","8.070","8.070","8.070","-1.22%"
"08/01/2025","8.170","8.170","8.170","8.170","-2.27%"
"07/29/2025","8.360","8.360","8.360","8.360","0.00%"
"07/23/2025","8.360","8.360","8.360","8.360","0.24%"
"07/18/2025","8.340","8.300","8.340","8.290","0.48%"
"07/16/2025","8.300","8.320","8.320","8.300","-0.48%"
"07/15/2025","8.340","8.340","8.340","8.340","0.12%"
"07/10/2025","8.330","8.330","8.330","8.330","0.00%"
"07/09/2025","8.330","8.330","8.330","8.330","0.00%"
"07/08/2025","8.330","8.330","8.330","8.080","0.12%"
"07/03/2025","8.320","8.330","8.330","8.330","0.60%"
"07/01/2025","8.270","8.260","8.280","8.260","0.24%"
"06/27/2025","8.250","8.260","8.260","8.260","0.24%"
"06/26/2025","8.230","8.230","8.240","8.230","-0.24%"
"06/25/2025","8.250","8.260","8.260","8.260","-0.24%"
"06/24/2025","8.270","8.360","8.360","8.280","-0.36%"
"06/18/2025","8.300","8.310","8.310","8.310","0.12%"
"06/13/2025","8.290","8.310","8.310","8.300","0.00%"
"06/12/2025","8.290","8.350","8.450","7.910","0.00%"
"06/11/2025","8.290","8.320","8.320","8.300","0.61%"
"06/06/2025","8.240","8.240","8.260","8.240","-0.12%"
"06/05/2025","8.250","8.260","8.260","8.260","0.00%"
"06/04/2025","8.250","8.360","8.360","8.260","-0.36%"
"05/30/2025","8.280","8.290","8.290","8.290","-0.12%"
"05/29/2025","8.290","8.300","8.300","8.300","-0.12%"
"05/28/2025","8.300","8.310","8.310","8.310","-0.84%"
"05/27/2025","8.370","8.380","8.380","8.380","0.00%"
"05/26/2025","8.370","8.380","8.380","8.380","0.12%"
"05/23/2025","8.360","8.370","8.370","8.370","0.00%"
"05/22/2025","8.360","8.370","8.370","8.370","0.12%"
"05/21/2025","8.350","8.360","8.360","8.360","0.36%"
"05/20/2025","8.320","8.330","8.330","8.330","0.12%"
"05/16/2025","8.310","8.320","8.320","8.320","-0.60%"
"05/15/2025","8.360","8.360","8.360","8.360","0.36%"
"05/13/2025","8.330","8.370","8.370","8.340","-0.36%"
"05/12/2025","8.360","8.370","8.370","8.370","0.00%"
"05/09/2025","8.360","8.390","8.390","8.370","0.24%"
"05/07/2025","8.340","8.350","8.350","8.350","-0.36%"
"05/06/2025","8.370","8.380","8.380","8.380","-0.83%"
"05/05/2025","8.440","8.450","8.450","8.450","-0.12%"
"04/30/2025","8.450","8.500","8.500","8.460","-0.71%"
"04/25/2025","8.510","8.520","8.520","8.520","-0.23%"
"04/21/2025","8.530","8.540","8.540","8.540","-0.12%"
"04/16/2025","8.540","8.910","8.910","8.550","-0.23%"
"04/15/2025","8.560","8.580","8.580","8.570","-0.12%"
"04/14/2025","8.570","9.130","9.130","8.580","-0.23%"
"04/11/2025","8.590","8.560","8.910","8.560","0.47%"
"04/10/2025","8.550","8.560","8.560","8.560","0.00%"
"04/09/2025","8.550","8.670","8.670","8.560","-0.12%"
"04/08/2025","8.560","8.570","8.570","8.570","0.35%"
"04/04/2025","8.530","8.540","8.540","8.540","-0.12%"
"04/03/2025","8.540","8.630","8.910","8.550","-2.73%"
"03/28/2025","8.780","8.740","8.820","8.610","-0.45%"
"03/27/2025","8.820","8.910","8.910","8.830","-0.79%"
"03/26/2025","8.890","8.900","8.900","8.900","-0.11%"
"03/25/2025","8.900","8.910","8.910","8.910","-0.11%"
"03/24/2025","8.910","9.130","9.130","8.920","0.11%"
"03/21/2025","8.900","8.910","8.910","8.910","0.11%"
"03/20/2025","8.890","8.910","8.910","8.900","-2.52%"
"03/19/2025","9.120","9.130","9.130","9.130","1.79%"
"03/14/2025","8.960","9.050","9.050","8.970","-0.22%"
"03/13/2025","8.980","8.990","8.990","8.990","-1.10%"
"03/12/2025","9.080","9.090","9.090","9.090","0.00%"
"03/11/2025","9.080","9.090","9.090","9.090","0.00%"
"03/10/2025","9.080","9.090","9.090","9.090","0.33%"
"03/07/2025","9.050","9.070","9.070","9.060","-0.22%"
"03/06/2025","9.070","9.080","9.080","9.080","0.11%"
"03/05/2025","9.060","9.100","9.100","9.060","-0.77%"
