"Date","Price","Open","High","Low","Change %"
"03/09/2026","0.104","0.044","0.219","0.044","447.37%"
"03/06/2026","0.019","-0.017","0.050","-0.040","-170.37%"
"03/05/2026","-0.027","-0.062","-0.013","-0.072","-63.01%"
"03/04/2026","-0.073","-0.051","-0.020","-0.074","97.30%"
"03/03/2026","-0.037","-0.105","-0.015","-0.113","-68.38%"
"03/02/2026","-0.117","-0.158","-0.100","-0.166","-22.00%"
"02/27/2026","-0.150","-0.139","-0.126","-0.161","16.28%"
"02/26/2026","-0.129","-0.138","-0.116","-0.147","-5.84%"
"02/25/2026","-0.137","-0.140","-0.117","-0.157","-2.14%"
"02/24/2026","-0.140","-0.142","-0.134","-0.170","-7.28%"
"02/23/2026","-0.151","-0.125","-0.121","-0.152","14.39%"
"02/20/2026","-0.132","-0.132","-0.107","-0.146","-6.38%"
"02/19/2026","-0.141","-0.132","-0.119","-0.153","-4.73%"
"02/18/2026","-0.148","-0.139","-0.126","-0.152","4.96%"
"02/17/2026","-0.141","-0.130","-0.130","-0.156","-1.40%"
"02/16/2026","-0.143","-0.138","-0.120","-0.147","13.49%"
"02/13/2026","-0.126","-0.137","-0.120","-0.152","-9.35%"
"02/12/2026","-0.139","-0.132","-0.115","-0.141","18.80%"
"02/11/2026","-0.117","-0.120","-0.100","-0.135","-4.88%"
"02/10/2026","-0.123","-0.130","-0.104","-0.137","16.04%"
"02/09/2026","-0.106","-0.116","-0.097","-0.124","-10.92%"
"02/06/2026","-0.119","-0.123","-0.102","-0.132","0.00%"
"02/05/2026","-0.119","-0.115","-0.093","-0.123","15.53%"
"02/04/2026","-0.103","-0.103","-0.095","-0.117","3.00%"
"02/03/2026","-0.100","-0.100","-0.086","-0.113","-10.71%"
"02/02/2026","-0.112","-0.132","-0.094","-0.133","-15.15%"
"01/30/2026","-0.132","-0.121","-0.106","-0.134","12.82%"
"01/29/2026","-0.117","-0.105","-0.084","-0.130","8.33%"
"01/28/2026","-0.108","-0.096","-0.088","-0.117","22.73%"
"01/27/2026","-0.088","-0.057","-0.049","-0.091","29.41%"
"01/26/2026","-0.068","-0.055","-0.042","-0.074","23.64%"
"01/23/2026","-0.055","-0.059","-0.035","-0.069","-3.51%"
"01/22/2026","-0.057","-0.063","-0.047","-0.072","-10.94%"
"01/21/2026","-0.064","-0.041","-0.041","-0.083","-1.54%"
"01/20/2026","-0.065","-0.056","-0.024","-0.070","20.37%"
"01/19/2026","-0.054","-0.044","-0.036","-0.070","1.89%"
"01/16/2026","-0.053","-0.055","-0.044","-0.069","-8.62%"
"01/15/2026","-0.058","-0.085","-0.055","-0.085","-20.55%"
"01/14/2026","-0.073","-0.067","-0.051","-0.075","55.32%"
"01/13/2026","-0.047","-0.049","-0.045","-0.066","-21.67%"
"01/12/2026","-0.060","-0.057","-0.041","-0.066","25.00%"
"01/09/2026","-0.048","-0.069","-0.032","-0.069","-2.04%"
"01/08/2026","-0.049","-0.078","-0.045","-0.086","-31.94%"
"01/07/2026","-0.072","-0.055","-0.046","-0.072","75.61%"
"01/06/2026","-0.041","-0.042","-0.029","-0.058","-14.58%"
"01/05/2026","-0.048","-0.012","-0.012","-0.054","37.14%"
"01/02/2026","-0.035","-0.036","-0.034","-0.036","-2.78%"
"12/30/2025","-0.036","-0.061","-0.016","-0.061","-34.55%"
"12/29/2025","-0.055","-0.065","-0.036","-0.068","30.95%"
"12/23/2025","-0.042","-0.054","-0.025","-0.058","-25.00%"
"12/22/2025","-0.056","-0.049","-0.041","-0.062","93.10%"
"12/19/2025","-0.029","-0.042","-0.022","-0.042","-36.96%"
"12/18/2025","-0.046","-0.031","-0.013","-0.046","31.43%"
"12/17/2025","-0.035","-0.034","-0.020","-0.042","2.94%"
